0, 1441
2, 26525
3, 6675
4, 29744
5, 6672
7, 13059
10, 1381
11, 13438
12, 1109
15, 397
16, 1394
17, 18751
18, 959
19, 5329
21, 6959
23, 7924
27, 1343
28, 4689
30, 8922
32, 1042
33, 5383
34, 17154
35, 5407
36, 4331
38, 25744
39, 161
41, 467
42, 2375
43, 1246
44, 2965
45, 24081
46, 1157
47, 1146
48, 14172
51, 4857
52, 25955
53, 9627
55, 738
56, 4985
57, 707
58, 1371
61, 1244
62, 26045
63, 527
64, 42807
65, 24712
66, 1274
67, 37504
68, 1805
69, 4114
70, 169
72, 5381
74, 1869
75, 1472
76, 3226
77, 26045
78, 683
79, 8609
80, 1469
84, 2000
85, 31784
87, 5069
88, 11111
89, 17424
90, 4935
91, 27708
92, 17300
93, 24712
94, 12349
95, 8212
97, 3060
98, 12637
99, 304
100, 11111
102, 8000
103, 3177
104, 4126
105, 636
106, 1299
107, 15194
108, 16011
109, 2262
111, 4568
112, 11171
113, 23683
114, 15544
115, 2188
116, 3103
117, 4160
118, 25282
119, 3344
120, 10861
121, 3560
123, 2256
124, 17447
125, 326
126, 40345
127, 1581
128, 10915
129, 1729
130, 707
131, 2965
132, 2062
133, 2975
134, 24328
136, 1976
137, 33029
139, 325
140, 803
141, 3488
142, 890
143, 15407
144, 2670
145, 17807
146, 20274
147, 8827
148, 35620
149, 699
150, 661
151, 8
152, 13147
153, 6439
156, 1146
158, 12282
160, 6134
161, 42134
162, 42143
163, 32550
166, 3453
167, 22385
168, 17223
170, 2
171, 3504
172, 24495
173, 1246
175, 2843
178, 946
179, 282
180, 1094
181, 760
182, 32947
183, 10297
184, 15830
185, 5525
186, 961
187, 26546
188, 16540
190, 1353
191, 22785
193, 2580
194, 30353
196, 2474
197, 6223
198, 35990
199, 1138
200, 41516
201, 738
202, 4689
203, 3982
204, 1146
205, 325
206, 2073
207, 36517
208, 2259
209, 36536
210, 3866
211, 11122
215, 4322
216, 36537
217, 150
218, 936
221, 6690
222, 1371
223, 13426
226, 5343
227, 6797
228, 2060
229, 23424
231, 2345
232, 9632
233, 1976
234, 2303
235, 15676
236, 40892
237, 12493
238, 1313
239, 2267
242, 144
243, 3922
244, 23218
245, 1805
247, 2733
249, 9318
250, 2372
251, 32025
252, 5475
253, 8283
255, 10273
256, 7360
257, 42418
259, 2126
261, 7231
262, 19765
263, 22307
264, 31640
266, 908
267, 982
268, 322
269, 3974
270, 8296
271, 18372
272, 25282
273, 282
274, 15544
276, 5149
277, 8871
279, 19374
282, 3302
283, 12395
284, 322
